"","GeneSymbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000051951","Xkr4",3.61003091567001,-0.241486401545678,1.35183379867586,-0.178636162065349,0.858223397954765,NA
"ENSMUSG00000025900","Rp1",12.9245878465473,0.0559180362192893,0.800288781035505,0.0698723230218675,0.944295282302766,NA
"ENSMUSG00000025902","Sox17",88.1502192663432,0.323077605103016,0.307818082916064,1.04957318310346,0.293914391888271,0.69625102384863
"ENSMUSG00000033845","Mrpl15",1082.32679085853,-0.200020469953702,0.158343715333868,-1.26320434967664,0.206515750072139,0.604184379219868
"ENSMUSG00000104217",NA,7.29274158357796,-0.44490341660643,1.28624380058492,-0.345893536205275,0.729422726530427,NA
"ENSMUSG00000033813","Tcea1",490.642842471678,0.0261832894275186,0.213175965490136,0.122824772329834,0.902245857300723,0.976316426949862
"ENSMUSG00000002459","Rgs20",0.559368444880344,-2.78098217561914,4.09395535804259,-0.679289814471447,0.496954248870779,NA
"ENSMUSG00000033793","Atp6v1h",813.568758237654,-0.179256504704716,0.174312686211425,-1.02836178249984,0.30377967880049,0.70315150118967
"ENSMUSG00000025907","Rb1cc1",1188.57691490083,0.283256839881782,0.196345790362164,1.44264279544424,0.149121121362309,0.526999471484727
"ENSMUSG00000033740","St18",0.519086315174008,-2.39233106941939,3.83442321222267,-0.623908978485618,0.532687363501491,NA
"ENSMUSG00000051285","Pcmtd1",1780.72915392367,0.154265342807739,0.149719070774986,1.03036535031389,0.302838532351511,0.702183111890469
"ENSMUSG00000025909","Sntg1",48.3318600208709,0.83870739703391,0.470907121481673,1.78104632266971,0.0749048835753159,0.382831388925371
"ENSMUSG00000061024","Rrs1",345.807705537404,-0.0131168091692082,0.200596578326438,-0.0653889975524045,0.947864284013814,0.986440125270713
"ENSMUSG00000025911","Adhfe1",1057.34277117574,0.0926358470706499,0.18684176833057,0.495798385437853,0.620036664122509,0.897672662330193
"ENSMUSG00000025912","Mybl1",11.1412237589587,-0.201883423347148,0.768082846310305,-0.262840687455722,0.792673373716405,NA
"ENSMUSG00000045210","Vcpip1",590.607399993607,-0.0549308483360113,0.217186748830057,-0.252919888676051,0.800330120088122,0.94571609044977
"ENSMUSG00000025915","Sgk3",15.0964772523414,-0.15595854747208,0.660825881563437,-0.23600550738585,0.813428396602285,NA
"ENSMUSG00000099032","Tcf24",7.58763374978631,0.392311539857981,0.923323328848216,0.424890748019292,0.670916319506631,NA
"ENSMUSG00000025916","Ppp1r42",0.556523852602353,-1.46360555092029,3.95111432231032,-0.370428550410682,0.711063204252427,NA
"ENSMUSG00000025917","Cops5",1178.66263308044,0.0749433443962762,0.147309426496853,0.508747784703901,0.610929023451359,0.892510836543497
"ENSMUSG00000056763","Cspp1",195.144799340855,0.174718147966605,0.247522204050942,0.705868585149825,0.480269865409768,0.821299593099722
"ENSMUSG00000067851","Arfgef1",2364.35424337681,-0.132320016619679,0.158670060517042,-0.833931846931307,0.404319389906757,0.774200019054038
"ENSMUSG00000048960","Prex2",453.36203081781,0.454137260268604,0.178337250567736,2.54650814018305,0.0108806673820014,0.121014742398341
"ENSMUSG00000057715","A830018L16Rik",1.64067258414548,-1.68825327178559,2.15422773538075,-0.783693034890391,0.433220250438328,NA
"ENSMUSG00000016918","Sulf1",261.54922578977,-0.264613350751529,0.234563780877406,-1.12810831135873,0.259274179488301,0.666119871042317
"ENSMUSG00000025938","Slco5a1",247.560399895,0.135219871990587,0.209855394541973,0.644347848601726,0.519349894347946,0.841278318560127
"ENSMUSG00000005886","Ncoa2",1131.46375803346,0.0879151737955669,0.183188631283998,0.479916101667203,0.631287051406417,0.901819286636246
"ENSMUSG00000025935","Tram1",2014.85637398793,-0.081245539572182,0.151189014158627,-0.53737726926997,0.591007041326585,0.880887261342406
"ENSMUSG00000025937","Lactb2",2866.15567236838,0.579677185015497,0.173802729714158,3.33525938268549,0.000852198689511797,0.0215124307214166
"ENSMUSG00000067813","Xkr9",189.920007407116,0.594873693616664,2.0540747996513,0.289606636388144,0.772117189385969,0.940658690645164
"ENSMUSG00000025932","Eya1",13.00019758579,0.0977108459644482,0.744325385633797,0.131274369852705,0.895558266207109,NA
"ENSMUSG00000032769","Trpa1",1.04337377063057,1.82800469472891,2.7117898776053,0.674095257093875,0.500250754684549,NA
"ENSMUSG00000092083","Kcnb2",21.2014084043848,-0.497818879079863,1.76074258737949,-0.28273234409623,0.777382020405059,NA
"ENSMUSG00000025925","Terf1",137.355190651682,0.332276005252359,0.293954499720784,1.1303654326366,0.258322273518491,0.664809717605114
"ENSMUSG00000032719","Sbspon",4.13723645482047,1.7332971239757,1.52601839593199,1.13582977020216,0.256027815142996,NA
"ENSMUSG00000043716","Rpl7",5553.01330963328,0.0302319923992507,0.142343334463931,0.21238783335451,0.831804476846991,0.955886805992524
"ENSMUSG00000025921","Rdh10",318.536299798236,-0.0830996193661529,0.237614862626779,-0.349723996418007,0.726545843010936,0.933172781581724
"ENSMUSG00000025920","Stau2",396.771203789718,-0.207863075394519,0.18843726430766,-1.10308901033048,0.269988512805668,0.675555197450357
"ENSMUSG00000025939","Ube2w",398.272369434315,-0.182245624513744,0.196044983041931,-0.929611264139129,0.352572393176642,0.737349365002183
"ENSMUSG00000079658","Eloc",743.84726238409,-0.0754056760791717,0.164057367943033,-0.459629927168863,0.645781874197711,0.906700574108621
"ENSMUSG00000025940","Tmem70",1113.98202875684,0.0535060698597513,0.154357321258254,0.346637719698637,0.728863504649138,0.933569585395877
"ENSMUSG00000025779","Ly96",54.8479530554298,-0.0608077662077893,0.434799360374835,-0.13985247392123,0.888776552459949,0.973649251916525
"ENSMUSG00000042686","Jph1",66.4017300619332,0.281119709695406,0.346817340538926,0.81056993649328,0.41761268731617,0.780971418673317
"ENSMUSG00000025777","Gdap1",0.344887632702618,0.506139566343488,4.80320553944268,0.105375371132299,0.916077958233438,NA
"ENSMUSG00000067780","Pi15",3.11007550904764,-1.37752938803205,1.47742089405229,-0.932387915710156,0.351136087640027,NA
"ENSMUSG00000025776","Crispld1",3.27838336413899,0.522503823715776,1.49878608723135,0.348618010379971,0.727376104722279,NA
"ENSMUSG00000042596","Tfap2d",0.564116554117263,0.167682038632769,3.30759378309969,0.0506960798782332,0.95956770043837,NA
"ENSMUSG00000043760","Pkhd1",80.8870728418335,-1.8401603983746,1.79427954206486,-1.02557062889818,0.305094017775899,0.703757218691808
"ENSMUSG00000041859","Mcm3",91.9280713053731,0.0316502159009765,0.310867674874478,0.101812502421669,0.918905501724107,0.979210009060918
"ENSMUSG00000025931","Paqr8",23.9100275818778,0.532910826315575,0.518939319095635,1.02692320027761,0.304456628822056,0.703542440787867
"ENSMUSG00000041809","Efhc1",11.2691871587744,0.384618305225272,0.882508858442274,0.435823733151151,0.662964623098243,NA
"ENSMUSG00000041779","Tram2",221.588404946835,-0.241866123311501,0.244858120414039,-0.98778069072213,0.323260066216317,0.715751911103433
"ENSMUSG00000025933","Tmem14a",72.7611485415788,1.02043431100732,0.426782988175869,2.39099106402718,0.0168029618363618,0.160677108628908
"ENSMUSG00000025934","Gsta3",1865.48075138043,-0.840194580017447,0.59326850499337,-1.41621301812884,0.156713145518955,0.538699745791618
"ENSMUSG00000028033","Kcnq5",5.51246568217482,0.75250970518965,1.07526370543805,0.699837352812991,0.484028884675986,NA
"ENSMUSG00000041670","Rims1",1.67155427052537,0.899613096706041,1.96083482905914,0.458790859573674,0.646384359217185,NA
"ENSMUSG00000026158","Ogfrl1",378.088287798552,0.0856485693033818,0.183637446612971,0.466400349618737,0.640928961296084,0.905205105391448
"ENSMUSG00000026156","B3gat2",9.06063391678337,0.381167127742259,0.878631680085999,0.433819012427313,0.664419874193282,NA
"ENSMUSG00000026155","Smap1",161.371011499146,0.0278955261948033,0.252815326354167,0.110339537547358,0.91214010225042,0.977980051996523
"ENSMUSG00000026154","Sdhaf4",299.222649737504,-0.0642279164178637,0.280027651230574,-0.229362765196994,0.818586973844191,0.951499627474258
"ENSMUSG00000026153","Fam135a",493.649904882043,0.464381450521067,0.191991343373961,2.41876244189064,0.0155734070123663,0.152242388291483
"ENSMUSG00000026141","Col19a1",1.37804590914013,4.83360226667839,2.92445704231281,1.65282040281082,0.0983674204368246,NA
"ENSMUSG00000073725","Lmbrd1",1180.96423117373,0.128987828204979,0.16510206627683,0.78126113811745,0.434648921770801,0.793110708808161
"ENSMUSG00000033569","Adgrb3",0.778810194389868,-0.619112162012367,3.33431328252442,-0.185679061789789,0.852696449042989,NA
"ENSMUSG00000048874","Phf3",934.367711743203,0.198493614183945,0.184991628615108,1.07298700849285,0.283276945139609,0.686775682493232
"ENSMUSG00000117310","Ptp4a1",3.44145910013998,1.44283385388616,1.66562148416374,0.86624354188765,0.386356620041913,NA
"ENSMUSG00000086727","4931428L18Rik",35.4847998422275,0.266033346545681,0.652233654680334,0.407880434621343,0.683361457594835,0.918120056070011
"ENSMUSG00000026134","Prim2",56.7845592035729,0.0861210581721614,0.37477991579376,0.229791017455571,0.818254165002305,0.951499627474258
"ENSMUSG00000004768","Rab23",157.31825808909,-0.351439100792295,0.319631281340122,-1.09951410049358,0.271543887003087,0.676104894891878
"ENSMUSG00000042215","Bag2",354.755853663572,-0.196241268070749,0.193600284804146,-1.01364142242495,0.310753884681318,0.706788350501512
