"","Genename","Heart_ZT0_1","Heart_ZT0_2","Heart_ZT12_1","Heart_ZT12_2","Liver_ZT0_1","Liver_ZT0_2","Liver_ZT12_1","Liver_ZT12_2"
"ENSMUSG00000051951.6","Xkr4",16,9,14,3,1,0,1,0
"ENSMUSG00000025900.14","Rp1",61,28,34,24,0,0,0,0
"ENSMUSG00000025902.14","Sox17",274,227,369,114,16,19,2,6
"ENSMUSG00000033845.14","Mrpl15",1622,1377,1393,534,1063,1408,820,719
"ENSMUSG00000104217.2","Gm37988",5,3,5,0,9,22,4,7
"ENSMUSG00000033813.16","Tcea1",486,475,506,210,443,914,464,331
"ENSMUSG00000002459.18","Rgs20",3,1,0,0,0,0,0,1
"ENSMUSG00000033793.13","Atp6v1h",724,612,657,230,971,1334,750,692
"ENSMUSG00000025907.15","Rb1cc1",2378,1836,2816,1007,550,1284,722,536
"ENSMUSG00000033740.18","St18",2,1,0,0,0,1,1,0
"ENSMUSG00000051285.18","Pcmtd1",2468,1966,2676,985,1282,2344,1598,1215
"ENSMUSG00000025909.17","Sntg1",25,32,62,18,38,93,54,37
"ENSMUSG00000061024.9","Rrs1",655,497,648,215,303,562,204,126
"ENSMUSG00000025911.15","Adhfe1",1268,977,1240,499,803,1695,1027,771
"ENSMUSG00000025912.17","Mybl1",29,23,29,7,7,15,5,2
"ENSMUSG00000045210.9","Vcpip1",782,581,692,268,521,1213,475,347
"ENSMUSG00000025915.15","Sgk3",32,31,34,10,7,15,9,7
"ENSMUSG00000099032.3","Tcf24",19,15,24,9,2,8,1,2
"ENSMUSG00000025916.11","Ppp1r42",4,2,2,0,0,0,0,0
"ENSMUSG00000025917.10","Cops5",1753,1316,1699,663,1005,1494,959,791
"ENSMUSG00000056763.17","Cspp1",171,151,194,75,231,382,153,142
"ENSMUSG00000067851.12","Arfgef1",5490,4472,4945,1812,1267,2460,1389,908
"ENSMUSG00000048960.14","Prex2",1207,979,1663,584,57,108,128,113
"ENSMUSG00000057715.14","A830018L16Rik",9,2,3,0,0,2,1,1
"ENSMUSG00000016918.16","Sulf1",966,864,849,299,11,31,20,29
