"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006644","phospholipid metabolic process","54/1081","367/28943",6.94497017037975e-18,3.75445087410729e-14,2.59376359626393e-14,"Pgap1/Hycc2/Idh1/Etnk2/Chp1/Gpcpd1/Fitm2/Pigt/Pld1/Fdps/Pmvk/Pla2g12a/Sgms2/Plpp3/Selenoi/Gpat3/Pla2g1b/Scarb1/Pon1/Phb2/Gde1/Pnpla6/Gpat4/Abhd8/Smpd3/Mvd/Plscr1/Cish/Ip6k2/Smpdl3a/Chpt1/Socs2/Mtmr4/Socs7/Ormdl3/Pitpnc1/Abca8b/Abca8a/Efr3b/Lpin1/Lyst/Mboat1/Hmgcs1/Abhd6/Pip4p1/Fdft1/Enpp2/Pigp/Ppard/Ttc7/Chka/Osbp/Pi4k2a/Gpam",54
"GO:0008654","phospholipid biosynthetic process","36/1081","223/28943",1.31054408241183e-13,2.65784029662209e-10,1.83616982542111e-10,"Pgap1/Hycc2/Idh1/Etnk2/Chp1/Fitm2/Pigt/Pld1/Fdps/Pmvk/Sgms2/Selenoi/Gpat3/Gpat4/Abhd8/Mvd/Plscr1/Cish/Ip6k2/Chpt1/Socs2/Socs7/Ormdl3/Abca8b/Abca8a/Efr3b/Lpin1/Mboat1/Hmgcs1/Pigp/Ppard/Ttc7/Chka/Osbp/Pi4k2a/Gpam",36
"GO:0009895","negative regulation of catabolic process","44/1081","324/28943",1.47493912132192e-13,2.65784029662209e-10,1.83616982542111e-10,"Serpine2/Ikbke/Adora1/Qsox1/Psen2/Tsc1/Bmf/Noct/Mcl1/Ptpn3/Kdm4a/Rpl11/Mad2l2/Tardbp/Cyp51/Ppargc1a/Rpl5/Acacb/Apobec1/Crtc3/Pde3b/Hmox1/Banp/Tirap/Ddit4/Irak3/Agap2/Egfr/Adra1b/Trp53/Tob1/Stat3/Rps7/Nampt/Nrde2/Pabpc1/Azin1/Ppara/Anks1/Vegfa/Plin5/Npc1/Rela/Rbm10",44
"GO:0046486","glycerolipid metabolic process","46/1081","382/28943",3.21500686724943e-12,4.34508178108761e-09,3.00180114868447e-09,"Pgap1/Hycc2/Insig2/Etnk2/Gpcpd1/Fitm2/Pigt/Pld1/Cd36/Insig1/Selenoi/Gpat3/Pla2g1b/Scarb1/Pon1/Mgll/Apobec1/Phb2/Pnpla2/Pnpla6/Gpat4/Acsl1/Abhd8/Plscr1/Cish/Ip6k2/Chpt1/Socs2/Slc22a4/Mtmr4/Socs7/Pitpnc1/Efr3b/Lpin1/Sel1l/Mboat1/Abhd6/Pip4p1/Enpp2/Pigp/Plin5/Lpin2/Ttc7/Chka/Pi4k2a/Gpam",46
"GO:0010876","lipid localization","51/1081","470/28943",1.1183247202439e-11,1.2091326875277e-08,8.35329706826388e-09,"Ikbke/Lbp/Fitm2/Bltp1/Pla2g12a/Abca1/Plin2/Abcb1a/Cd36/Spp1/Acacb/Pla2g1b/Scarb1/Pon1/Osbpl3/Pparg/Dennd5b/Stard5/Fzd4/Tsku/P2ry2/Tmem41b/Nucb2/Aqp8/Pnpla2/Osbpl5/Atp11a/Acsl1/Eepd1/Hexa/Plscr1/Slco2a1/Slc25a20/Cry1/Pctp/Abcc3/Stat5a/Pitpnc1/Abca8b/Abca8a/Abca9/Rft1/Sqle/Ppara/Soat2/Nrip1/Nme4/Ppard/Plin5/Npc1/Osbp",51
"GO:0009259","ribonucleotide metabolic process","49/1081","445/28943",1.68362967706667e-11,1.51695033903707e-08,1.04798563056712e-08,"Pid1/Atp1b1/Mpc2/Uck2/Dhtkd1/Upp2/Fitm2/Tdo2/Pmvk/Ampd2/Papss1/Vcp/Ak4/Ak2/Hmgcl/Epha2/Khk/Cad/Ppargc1a/Acacb/Mlxipl/Rasl2-9/Gpat4/Acsl1/Mvd/Clpx/Enpp3/Ddit4/Adcy1/Pank3/Acaca/Pdk2/Acly/Stat3/Fasn/Dmac2l/Hmgcs1/Myc/Ppara/Adcy6/Nme4/Pde9a/Rhoq/Tkfc/Papss2/Pank1/Pgam1/Nt5c2/Gpam",49
"GO:0006790","sulfur compound metabolic process","41/1081","335/28943",2.91167484666257e-11,1.91933113215439e-08,1.32597053116104e-08,"Sulf1/Idh1/Mpc2/Slc1a2/Apip/Fitm2/Sulf2/Tdo2/Pmvk/Gstm2/Papss1/Cth/Hmgcl/Mthfr/Acacb/Ahcyl2/Eif2ak3/Mat2a/Ethe1/Nox4/Hbb-bt/Hbb-b1/Sult1a1/Gpat4/Acsl1/Ciapin1/Mvd/Gns/Iba57/Acaca/Pdk2/Acly/Stat5a/Fasn/Adi1/Hmgcs1/Btd/Ghr/Clic5/Papss2/Gpam",41
"GO:0006914","autophagy","50/1081","469/28943",3.38060743525517e-11,1.91933113215439e-08,1.32597053116104e-08,"Bok/Rnf152/Qsox1/Sec16b/Atf6/Optn/Acbd5/Tsc1/Bmf/Foxo1/Tlr2/Syt11/Mcl1/Trp53inp1/Vcp/Kdm4a/Kdr/Stbd1/Hspb8/Atp2a2/Smurf1/Eva1a/Phb2/Gabarapl1/Tbc1d17/Atg16l2/Tmem41b/Bag3/Bnip3/Slc25a4/Hmox1/Map1lc3b/Atg4d/Irgm1/Sqstm1/Trp53/Mtmr4/Ormdl3/Stat3/Nampt/Ubqln1/Dapk1/Anxa7/Mapk15/Arsa/Ubxn6/Npc1/Iigp1/Slc25a5/Fundc2",50
"GO:0061919","process utilizing autophagic mechanism","50/1081","469/28943",3.38060743525517e-11,1.91933113215439e-08,1.32597053116104e-08,"Bok/Rnf152/Qsox1/Sec16b/Atf6/Optn/Acbd5/Tsc1/Bmf/Foxo1/Tlr2/Syt11/Mcl1/Trp53inp1/Vcp/Kdm4a/Kdr/Stbd1/Hspb8/Atp2a2/Smurf1/Eva1a/Phb2/Gabarapl1/Tbc1d17/Atg16l2/Tmem41b/Bag3/Bnip3/Slc25a4/Hmox1/Map1lc3b/Atg4d/Irgm1/Sqstm1/Trp53/Mtmr4/Ormdl3/Stat3/Nampt/Ubqln1/Dapk1/Anxa7/Mapk15/Arsa/Ubxn6/Npc1/Iigp1/Slc25a5/Fundc2",50
"GO:0006605","protein targeting","37/1081","282/28943",3.55037205355973e-11,1.91933113215439e-08,1.32597053116104e-08,"Mff/Adora1/Pex19/Zdhhc12/Hspa5/Timm10/Tomm34/Kcnb1/Tomm5/Rpl11/Grpel1/Smurf1/Edem1/C2cd5/Spcs2/Bag3/Herpud1/Nol3/Srprb/Rtp3/Trak1/Pex3/Pex7/Sec63/Ank3/Gnptab/Rab3ip/Os9/Timm9/Dnajc15/Tomm70a/Grpel2/Rhod/Vps37c/Ppp1r3c/Gdi1/Timm8a1",37
"GO:0019693","ribose phosphate metabolic process","49/1081","456/28943",4.02324216420557e-11,1.97724064906321e-08,1.36597733957908e-08,"Pid1/Atp1b1/Mpc2/Uck2/Dhtkd1/Upp2/Fitm2/Tdo2/Pmvk/Ampd2/Papss1/Vcp/Ak4/Ak2/Hmgcl/Epha2/Khk/Cad/Ppargc1a/Acacb/Mlxipl/Rasl2-9/Gpat4/Acsl1/Mvd/Clpx/Enpp3/Ddit4/Adcy1/Pank3/Acaca/Pdk2/Acly/Stat3/Fasn/Dmac2l/Hmgcs1/Myc/Ppara/Adcy6/Nme4/Pde9a/Rhoq/Tkfc/Papss2/Pank1/Pgam1/Nt5c2/Gpam",49
"GO:0043434","response to peptide hormone","43/1081","369/28943",4.79681377340851e-11,2.16096460492054e-08,1.4929030936889e-08,"Stat1/Pid1/Insig2/Adipor1/Tsc1/Ptprj/Snx5/Ncoa5/Adrm1/Pld1/Foxo1/Zbtb7b/Insig1/Khk/Cpeb2/Atp2a2/Pparg/C2cd5/Csrp3/Pde3b/Nucb2/Leprotl1/Sgk1/Cry1/Socs2/Stat2/Pdk2/Socs7/Stat5a/Stat3/Lpin1/Srsf5/Gkap1/Ghr/Ppara/Adcy6/Srsf3/Lpin2/Rhoq/Rela/Esrra/Sorbs1/Gpam",43
"GO:1901652","response to peptide","47/1081","430/28943",5.63189888748376e-11,2.34200349121055e-08,1.61797386662287e-08,"Stat1/Pid1/Insig2/Adipor1/Fcgr2b/Tsc1/Ptprj/Snx5/Ncoa5/Adrm1/Pld1/Foxo1/Zbtb7b/Cd36/Insig1/Khk/Cpeb2/Atp2a2/Pparg/C2cd5/Csrp3/Pde3b/Nucb2/Leprotl1/Smpd3/Sgk1/Cry1/Socs2/Stat2/Trp53/Pdk2/Socs7/Stat5a/Stat3/Lpin1/Srsf5/Gkap1/Ghr/Ppara/Adcy6/Srsf3/Lpin2/Rhoq/Rela/Esrra/Sorbs1/Gpam",47
