"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006457","protein folding","34/652","169/28943",1.31465022111121e-22,6.39708797592714e-19,4.27053745510441e-19,"Hspe1/Dnajb2/Hspa5/Pdia3/Mkks/Hspa4l/Cct3/Dnajb14/Dnaja1/Dnajb5/Nppa/Cct6a/Hspb1/Hsph1/Pdia4/Dnajb1/Calr/Chordc1/Hspa8/Cryab/Clpx/Hsp90b1/Ahsa2/Hspa4/Unc45b/Entpd5/Ahsa1/Hsp90aa1/Cct5/St13/Sdf2l1/Fkbp5/Hspa1b/Hsp90ab1",34
"GO:0061077","chaperone-mediated protein folding","19/652","64/28943",1.31539816404982e-16,3.20036373313322e-13,2.13648354434618e-13,"Hspe1/Dnajb2/Hspa5/Cct3/Dnajb14/Dnajb5/Cct6a/Hspb1/Hsph1/Pdia4/Dnajb1/Chordc1/Hspa8/Unc45b/Cct5/St13/Sdf2l1/Fkbp5/Hspa1b",19
"GO:0042692","muscle cell differentiation","43/652","449/28943",1.74893751886892e-15,2.83677665560538e-12,1.89376181867701e-12,"Fhl2/Speg/Cacybp/Eng/Nfatc2/Plekho1/Bcl9/Pdlim5/Cth/Cavin4/Ski/Wdr1/Myo18b/Met/Lmod2/Flnc/Cyp26b1/Bhlhe41/Alpk3/Sorbs2/Gdf15/Irx3/Acta1/Rora/Xirp1/Popdc3/Mypn/Xbp1/Tcap/Prkar1a/Sox9/H3f3b/Actg1/Ifrd1/Adra1a/Fbxo40/Rcan1/Sik1/Vegfa/Srf/Pdgfrb/Alpk2/Pdcd4",43
"GO:0060537","muscle tissue development","44/652","494/28943",1.11784825904155e-14,1.35986240712404e-11,9.07810454579532e-12,"Fhl2/Speg/Cacybp/Cenpf/Atf3/Eng/Gpcpd1/Jph2/Bcl9/Pdlim5/Cavin4/Ski/Ppargc1a/Myo18b/Eln/Met/Wnt2/Cyp26b1/Alpk3/Arntl/Sorbs2/Irx3/Acta1/Xirp1/Cited2/Popdc3/Hlf/Tcap/Prkar1a/Sox9/Ifrd1/Hmgcr/Nr1d2/Flnb/Adra1a/Angpt1/Ddx17/Nr4a1/Rcan1/Sik1/Vegfa/Srf/Pdgfrb/Alpk2",44
"GO:0051146","striated muscle cell differentiation","35/652","334/28943",5.4458771173113e-14,5.29992761056735e-11,3.53810037558372e-11,"Fhl2/Speg/Cacybp/Nfatc2/Plekho1/Bcl9/Pdlim5/Cavin4/Ski/Wdr1/Myo18b/Met/Lmod2/Flnc/Cyp26b1/Bhlhe41/Alpk3/Sorbs2/Gdf15/Irx3/Acta1/Xirp1/Popdc3/Mypn/Xbp1/Tcap/Prkar1a/Actg1/Adra1a/Rcan1/Sik1/Vegfa/Srf/Pdgfrb/Alpk2",35
"GO:0035966","response to topologically incorrect protein","22/652","138/28943",6.39447434083775e-13,5.18591869041942e-10,3.46199084488163e-10,"Atf3/Hspa5/Thbs1/Chac1/Hspa4l/Dnajb14/Tmem33/Hspb1/Hsph1/Ppp1r15a/Bag3/Hspa8/Manf/Ddit3/Rnf185/Xbp1/Pdia6/Hsp90aa1/Atf4/Sdf2l1/Crebrf/Hspa1b",22
"GO:0010563","negative regulation of phosphorus metabolic process","38/652","453/28943",4.70380653462848e-12,2.86109032468778e-09,1.90999302182414e-09,"Mgat5/Eng/Il1b/Pmepa1/Dnaja1/Shb/Nppa/Ppargc1a/Dynll1/Hspb1/Actb/Met/Gadd45a/Dusp16/Uri1/Ppp1r15a/Inpp5f/Irs2/Slc27a1/Chordc1/Klhl31/Dusp7/Epm2a/Gadd45b/Pik3ip1/Inpp5j/Xbp1/Hspa4/Inpp5k/Wnk4/Prkar1a/Lpin1/Hmgcr/Angpt1/Crkl/Cdkn1a/Xdh/Rgn",38
"GO:0045936","negative regulation of phosphate metabolic process","38/652","453/28943",4.70380653462848e-12,2.86109032468778e-09,1.90999302182414e-09,"Mgat5/Eng/Il1b/Pmepa1/Dnaja1/Shb/Nppa/Ppargc1a/Dynll1/Hspb1/Actb/Met/Gadd45a/Dusp16/Uri1/Ppp1r15a/Inpp5f/Irs2/Slc27a1/Chordc1/Klhl31/Dusp7/Epm2a/Gadd45b/Pik3ip1/Inpp5j/Xbp1/Hspa4/Inpp5k/Wnk4/Prkar1a/Lpin1/Hmgcr/Angpt1/Crkl/Cdkn1a/Xdh/Rgn",38
"GO:0006986","response to unfolded protein","19/652","116/28943",1.46980739884454e-11,7.25162001762798e-09,4.8410018764791e-09,"Atf3/Hspa5/Thbs1/Chac1/Hspa4l/Tmem33/Hspb1/Hsph1/Ppp1r15a/Bag3/Hspa8/Manf/Ddit3/Xbp1/Pdia6/Hsp90aa1/Atf4/Crebrf/Hspa1b",19
"GO:0055001","muscle cell development","26/652","229/28943",1.61402713064044e-11,7.25162001762798e-09,4.8410018764791e-09,"Fhl2/Speg/Eng/Nfatc2/Pdlim5/Cavin4/Ski/Wdr1/Myo18b/Met/Lmod2/Flnc/Alpk3/Sorbs2/Acta1/Xirp1/Mypn/Tcap/Prkar1a/Actg1/Adra1a/Rcan1/Vegfa/Srf/Pdgfrb/Alpk2",26
