"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05012","Parkinson disease - Mus musculus (house mouse)","218/4686","274/9787",7.77217614559699e-28,2.65031206564857e-25,1.12901085062356e-25,"12859/227059/66495/227197/22145/70247/67273/226641/66052/226646/11949/14828/68375/19177/16574/59029/228033/56791/68349/68427/20192/84682/12048/14683/545486/67126/26444/56436/67414/66046/66377/30791/19172/19185/11950/14679/26442/108058/67547/18749/56228/230075/22166/66576/595136/26445/68943/67680/12371/170731/57320/140499/19181/22223/78174/26414/12861/67151/22190/17992/68202/68198/13063/20617/13666/64704/16438/53857/66108/16439/66091/333182/12315/23996/57296/12865/110323/12028/68197/26440/67003/70316/23997/12869/22335/11739/12367/110877/66916/18747/17463/12857/22152/50868/13489/66925/26441/12858/12866/14678/22273/215999/11540/66043/75406/66594/106947/11783/66414/407790/11947/66152/22433/12323/78294/26420/22333/22272/22187/22059/19175/67128/69077/11951/26446/22123/17762/19184/78943/69806/71679/26443/19167/13665/328133/19179/12313/102631912/16593/19166/66694/22151/73710/67530/407785/66945/12867/17993/66413/12325/22334/105675/26419/214922/19173/213053/12864/66218/66445/72027/56551/11911/67130/66725/22146/18174/68015/21762/224129/68194/11957/20655/28080/50873/19170/68342/19252/16440/78330/66416/13163/22154/74764/69875/22153/72900/20463/12314/16573/106957/17991/67847/12322/67951/11946/225887/17995/16594/12868/109731/104130/22201/11740/54405/66142/17716/17717/17708/17709/17706/17705/17710/17718/17720/17719/17721/17722/17711",218
"mmu05010","Alzheimer disease - Mus musculus (house mouse)","288/4686","389/9787",8.36634456444455e-27,1.4264617482378e-24,6.07660815733341e-25,"12421/12859/227059/66495/12370/14369/227197/22145/16367/70247/67273/12292/19225/226641/66052/226646/59287/23797/19165/11949/68375/19177/16574/59029/228033/68349/68427/51897/228361/20192/18795/18798/84682/545486/67126/26444/56436/18706/66046/66377/17380/67738/30791/19172/19185/226548/11950/12977/26442/67547/19055/230075/66576/18710/595136/26445/22417/67680/12371/56717/14362/19181/12568/78174/26414/12861/18125/11938/67151/14371/16369/74781/17992/22413/68202/68198/13063/20617/13666/16438/12288/22419/12122/53857/14433/21937/66108/16974/16439/66091/333182/12315/11816/23996/57296/12865/66340/110323/14814/27412/50490/14366/68197/22411/11785/26440/67003/70316/23997/12869/15461/14082/16337/384783/22335/234130/16150/11739/12367/16956/66916/13000/17463/12857/22152/12364/23821/66925/26441/12858/26395/208117/11487/12866/22273/12387/215999/641340/66043/75406/23805/66594/106947/26396/11783/66414/407790/16971/11947/66152/22433/19058/26420/22333/22272/216795/19175/53313/18126/69077/11951/26446/22123/56208/57265/17762/19184/78943/12006/52639/69806/14813/71679/11491/26443/19167/13665/328133/19164/19179/12313/102631912/76559/16593/11651/12671/19166/66694/22151/73710/67530/407785/66945/12867/18708/17993/66413/19056/22334/105675/22418/12289/26419/100504663/214922/19173/14365/19057/213053/12864/14368/66218/66445/72027/27373/11911/67130/22410/22146/18174/68118/13544/21762/68194/56637/11957/11820/28080/19170/68342/12005/16440/78330/66416/13001/22154/74764/69875/22153/72900/19106/20463/12314/16573/106957/225326/11789/17991/93687/67951/11946/16973/225887/17995/16594/19697/12015/12868/20168/12669/14682/14102/15925/14296/12675/12369/13058/104130/11836/11740/54405/16151/66142/237038/15108/17716/17717/17708/17709/17706/17705/17710/17718/17720/17719/17721/17722/17711",288
"mmu05020","Prion disease - Mus musculus (house mouse)","214/4686","273/9787",9.98126795876536e-26,1.13453745797966e-23,4.8330350116127e-24,"12859/66495/227197/12912/22145/70247/67273/12292/226519/66052/226646/11949/69379/18128/14828/15139/68375/19177/16574/59029/228033/68349/26427/20192/84682/545486/67126/26444/56436/18706/66046/66377/19172/19185/11950/26442/19055/18749/230075/12913/110382/230558/66576/18710/595136/26445/12260/12262/12259/67680/12371/19181/78174/26414/12861/67151/17992/68202/208647/68198/13063/231991/13666/16438/12391/12288/53857/66108/16439/66091/333182/23996/57296/12865/110323/12028/14814/68197/26440/67003/70316/23997/12869/22335/11739/12367/66916/18747/13000/17463/12857/13057/22152/12364/17967/66925/26441/12858/12866/22273/14360/215999/170483/66043/75406/66594/208677/11783/66414/407790/11947/66152/19058/26420/22333/22272/19175/69077/20304/11951/26446/22123/19184/14813/71679/26443/19167/13665/19179/102631912/16593/20191/19166/66694/22151/73710/67530/407785/66945/12867/18708/17993/66413/19056/22334/105675/12289/26419/19173/19057/12274/109828/12279/12864/66218/66445/19354/11911/67130/29857/19094/22146/21762/68194/56637/17968/11957/20655/28080/19170/68342/16440/26416/78330/66416/12915/15511/193740/13001/22154/74764/69875/22153/72900/20463/16573/13653/17991/67951/11946/225887/17995/16594/12015/20867/12868/13058/104130/11740/54405/66142/17716/17717/17708/17709/17706/17705/17710/17718/17720/17719/17721/17722/17711",214
"mmu05022","Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)","326/4686","481/9787",1.39417827785477e-19,1.18853698187119e-17,5.06306848273574e-18,"12421/12859/66495/12370/74018/14369/227197/22145/70247/67273/12043/12292/19225/226641/66052/641376/226646/19165/11949/14828/68375/19177/16574/59029/228033/56791/68349/51897/228361/12359/12064/20192/18795/18798/84682/12048/66734/545486/67126/26444/56436/67414/66046/22065/66377/67738/19172/19185/11950/12977/26442/108058/19055/56228/230075/68922/269523/67305/66576/595136/26445/22417/68943/67680/12371/21938/170731/56717/230908/57320/140499/14362/19181/12568/22223/78174/26414/12861/18125/20239/11938/67151/22190/20907/14371/215114/74781/17992/22413/68202/68198/13063/20617/13666/330355/64704/13191/16438/12288/22419/12122/53857/21937/66108/16974/16439/18752/66091/333182/12315/53333/269881/23996/57296/12865/110323/12028/14814/27412/50490/14366/68197/22411/26440/381917/67003/70316/233908/23997/12869/15461/14082/22335/234130/22428/11739/12367/17274/66916/13000/17463/12857/67443/22152/12364/66925/26441/12858/26395/12866/14775/22273/12387/14816/103199/215999/641340/66043/75406/23805/66594/26396/11783/66414/56480/407790/11947/66152/22433/12323/19058/19324/78294/26420/18412/22333/22272/14778/216795/237782/26397/22187/13385/19175/67128/53313/18126/69077/11951/26446/22123/56208/57265/17762/19184/78943/18750/12006/52639/14813/71679/26443/19167/13665/217695/19164/105000/19179/12313/110616/102631912/76559/16593/12671/20191/19166/75512/66694/22151/73710/20238/67530/407785/66945/12867/17993/66413/19056/12325/22334/105675/22418/12289/26419/100504663/19173/14365/19057/12864/14368/67819/66218/66445/27373/54152/11911/67130/29857/19094/66725/22410/22146/68118/68015/13544/21762/68194/56637/73916/11957/11820/20655/28080/50873/19170/68342/12005/16440/26416/78330/66416/13163/13001/22154/74764/69875/22153/72900/20463/12314/16573/225326/11789/17991/67847/67665/12322/93687/67951/11946/16973/225887/17995/20743/12460/16594/19697/12015/12868/12669/14682/14102/14296/12369/13058/104130/22201/11836/11740/54405/66142/237038/15108/17716/17717/17708/17709/17706/17705/17710/17718/17720/17719/17721/17722/17711",326
"mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","176/4686","232/9787",1.24189918567041e-18,8.46975244627221e-17,3.60804394994772e-17,"14200/12825/12832/17901/14268/13346/12829/12828/12835/93689/13007/21956/11931/54418/22352/74103/12831/20740/16420/241431/16403/22138/17868/21825/640524/14118/20648/668940/98932/20971/381485/16905/59069/50874/11928/109674/68753/59006/118449/109676/56376/22004/21894/21916/373864/12840/14201/20970/433766/15530/12345/13806/11603/58522/24051/17906/13717/77053/11461/12843/20392/12343/93677/68794/22793/11468/14115/74122/320502/13807/16651/21955/21954/12715/80297/233199/71960/13009/11717/12826/12827/17930/53318/12845/326618/20650/11459/16412/53867/319480/22003/70549/50875/50876/245026/13138/17897/104099/22437/64009/16773/68802/11735/12834/12833/13179/13008/16404/17898/20742/24052/30794/380698/77579/11932/13808/12842/20391/21393/16480/16399/57778/17896/192897/11465/20969/208846/319565/212073/70435/320910/11472/18073/109620/67399/13003/21828/16398/109700/22330/24131/17888/140781/24053/213019/15529/20649/18810/17886/223697/14114/22379/16421/17880/67451/21826/12815/76441/16772/17929/13506/13527/13367/58916/14119/20743/107765/54132/18175/14199/12111/13726/13405/54004/94216/12830",176
"mmu05016","Huntington disease - Mus musculus (house mouse)","222/4686","308/9787",1.79840452243283e-18,1.02209323691599e-16,4.35403200167948e-17,"12421/12859/66495/12370/227197/12912/22145/70247/67273/66052/226646/16513/11949/68375/19177/16574/59029/228033/68349/51897/228361/26427/20511/12064/18795/18798/84682/21817/545486/67126/228980/26444/56436/66046/66377/19172/19185/11950/26442/230075/68922/12913/12757/67305/66576/595136/26445/433759/67680/12371/56717/19181/19017/78174/26414/12861/67151/20907/215114/20022/74781/17992/68202/208647/68198/13063/231991/330355/13191/16438/19016/53857/66108/66091/333182/170770/232910/269881/23996/57296/12865/69920/110323/11771/12028/68197/26440/381917/67003/70316/23997/12869/11772/22335/22428/11739/12367/66916/20021/17463/12857/22152/66925/26441/12858/12866/14775/22273/641340/21780/66420/66043/75406/66594/208677/11783/66414/407790/11947/66152/26420/22333/22272/14778/22059/20020/13385/19175/69077/71770/67300/11951/26446/22123/56208/19184/78943/52639/71679/26443/19167/105000/19179/102631912/76559/16593/19166/75512/66694/22151/73710/74325/67530/407785/66945/12867/17993/66413/22334/105675/26419/100504663/19173/20512/12864/66218/66445/54152/328572/67130/22146/68118/20683/11773/21762/245841/68194/73916/11957/20655/28080/20656/19170/21374/68342/78330/66416/22154/74764/69875/22153/72900/20463/16573/225326/69241/17991/67665/67951/11946/225887/17995/16594/12868/14682/104130/11740/54405/66142/17716/17717/17708/17709/17706/17705/17710/17718/17720/17719/17721/17722/17711",222
"mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","166/4686","217/9787",2.86003336686749e-18,1.39324482585974e-16,5.93510683650698e-17,"12859/12825/66495/227197/16367/67273/70456/66052/226646/23797/21808/11949/68375/228033/68349/18795/18798/84682/67126/18706/66046/66377/11950/108058/230075/21812/66576/18710/595136/67680/56717/18762/12491/18127/19046/78174/26414/12861/19047/11938/12843/27273/17992/68202/68198/14583/14433/66108/232493/18752/66091/21954/333182/21803/12865/110323/14936/68197/67003/70316/12869/13033/16337/22335/14782/11739/66916/17390/12857/13057/11606/66925/12858/17127/12866/22273/21813/66043/75406/66594/66414/407790/11947/66152/12323/14584/26420/22333/22272/20528/53313/12842/18604/11951/11421/18750/71679/21809/102631912/11651/20191/11607/66694/67530/407785/66945/12867/18708/17993/68263/12325/22334/105675/26419/17228/17227/210789/12864/66218/66445/19354/67130/19013/29857/19094/20683/68194/56637/11957/28080/55951/68342/26416/78330/66416/69875/72900/20463/17991/12322/11946/225887/17995/19697/12868/19211/13058/104130/11740/54405/236900/66142/18597/17716/17717/17708/17709/17706/17705/17710/17718/17720/17719/17721/17722/17711",166
"mmu05208","Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)","173/4686","229/9787",5.16667400494802e-18,2.20229479460909e-16,9.38159227214246e-17,"14859/12859/66495/227197/67273/11352/66447/66052/226646/23797/13849/11949/11350/68375/228033/19271/68349/12359/84682/19246/67126/18805/18706/66046/66377/11863/11950/14866/68312/14867/14864/14862/14865/13645/230075/16476/66576/18710/58810/595136/67680/15234/78174/26414/12861/19247/17992/17295/68202/68198/66108/56615/66091/333182/101540/13107/12865/110323/50490/68197/67003/70316/13106/12869/15461/22335/16150/11739/15368/66916/18104/12857/13057/50868/66925/12858/13077/26395/14858/12866/171429/22273/56484/14871/14872/66043/75406/66594/26396/66414/407790/11947/66152/13649/26420/22333/22272/11951/71679/11431/11622/18760/18035/20663/14281/102631912/11651/66694/67530/407785/66945/12867/18708/17993/22334/105675/26419/13850/12864/66218/66445/67130/29857/19094/68194/11957/20655/28080/12408/20656/18607/68342/26416/78330/71932/66416/22339/69875/72900/75292/13078/20463/17991/13521/11946/225887/17995/19697/12015/12868/19211/12675/57344/104130/11836/11740/54405/16151/66142/237038/17716/17717/17708/17709/17706/17705/17710/17718/17720/17719/17721/17722/17711",173
"mmu04714","Thermogenesis - Mus musculus (house mouse)","176/4686","238/9787",1.08072921309489e-16,4.09476290739287e-15,1.74433487025842e-15,"12859/76178/66495/227197/12912/241113/74205/67273/66052/226646/11949/64930/68375/228033/68349/26427/69487/84682/14683/67126/56456/66046/66377/18160/108097/11950/18749/68493/230075/12913/20104/108079/66576/595136/93760/20111/67680/18158/230899/56717/70673/66993/19744/108099/19017/83379/78174/231430/11958/12861/11461/57423/17992/68202/208647/68198/231991/104263/23945/19016/66108/66091/333182/12865/110323/78070/56636/103968/68197/67003/70316/12869/15461/66853/14182/11556/66916/18747/11513/12857/27425/66925/12858/12866/66706/57279/22273/20587/66043/75406/66594/208677/50721/66414/327826/407790/11947/68094/66152/22272/216739/26397/70383/69802/11951/83796/71679/208501/11465/104111/20663/70127/102631912/214663/66694/67530/407785/66945/12867/17993/104110/12864/66218/11514/66445/67130/29857/19094/11512/19082/83797/66379/11515/224129/68194/12856/11957/28080/239985/20112/22084/68342/26416/78330/66416/69875/72900/20463/17991/11946/329003/12894/225887/17995/58988/12868/19091/433256/104130/54405/66142/50790/110651/17716/17717/17708/17709/17706/17705/17710/17718/17720/17719/17721/17722/17711",176
"mmu04932","Non-alcoholic fatty liver disease - Mus musculus (house mouse)","127/4686","162/9787",9.44190584528202e-16,3.21968989324117e-14,1.37156105963044e-14,"12859/66495/12370/227197/241113/16367/67273/72674/66052/226646/23797/20181/68375/68349/22259/12125/84682/16396/18706/66046/66377/18770/16194/108097/230075/16476/108079/66576/18710/595136/12540/67680/108099/78174/26414/12861/208104/58805/17992/68202/68198/13063/13666/19016/68465/12122/21937/66108/66091/333182/21803/12865/110323/12606/12028/68197/67003/70316/13106/12869/16337/384783/16150/12367/66916/12857/66925/12858/12866/22273/75406/66594/66414/407790/66152/22433/26420/22272/20787/21428/78943/12702/13665/14281/102631912/11651/66694/67530/407785/66945/12867/18708/17993/26419/12864/66218/66445/11911/67130/19013/29857/19094/19082/68194/56637/68342/26416/78330/66416/69875/72900/20463/17991/225887/17995/19697/26403/12868/14102/12369/104130/54405/66142/17708/17709/17710/17711",127
