Module	Section	Sample Name	Source
FastQC	all_sections	Heart_ZT0_1_R1	/home/rgitbt/Desktop/RNAgunjan/biostateai/Heart_ZT0_1_R1_fastqc.zip
FastQC	all_sections	Heart_ZT0_1_R2	/home/rgitbt/Desktop/RNAgunjan/biostateai/Heart_ZT0_1_R2_fastqc.zip
FastQC	all_sections	Heart_ZT0_2_R1	/home/rgitbt/Desktop/RNAgunjan/biostateai/Heart_ZT0_2_R1_fastqc.zip
FastQC	all_sections	Heart_ZT0_2_R2	/home/rgitbt/Desktop/RNAgunjan/biostateai/Heart_ZT0_2_R2_fastqc.zip
FastQC	all_sections	Heart_ZT12_1_R1	/home/rgitbt/Desktop/RNAgunjan/biostateai/Heart_ZT12_1_R1_fastqc.zip
FastQC	all_sections	Heart_ZT12_1_R2	/home/rgitbt/Desktop/RNAgunjan/biostateai/Heart_ZT12_1_R2_fastqc.zip
FastQC	all_sections	Heart_ZT12_2_R1	/home/rgitbt/Desktop/RNAgunjan/biostateai/Heart_ZT12_2_R1_fastqc.zip
FastQC	all_sections	Heart_ZT12_2_R2	/home/rgitbt/Desktop/RNAgunjan/biostateai/Heart_ZT12_2_R2_fastqc.zip
FastQC	all_sections	Liver_ZT0_1_R1	/home/rgitbt/Desktop/RNAgunjan/biostateai/Liver_ZT0_1_R1_fastqc.zip
FastQC	all_sections	Liver_ZT0_1_R2	/home/rgitbt/Desktop/RNAgunjan/biostateai/Liver_ZT0_1_R2_fastqc.zip
FastQC	all_sections	Liver_ZT0_2_R1	/home/rgitbt/Desktop/RNAgunjan/biostateai/Liver_ZT0_2_R1_fastqc.zip
FastQC	all_sections	Liver_ZT0_2_R2	/home/rgitbt/Desktop/RNAgunjan/biostateai/Liver_ZT0_2_R2_fastqc.zip
FastQC	all_sections	Liver_ZT12_1_R1	/home/rgitbt/Desktop/RNAgunjan/biostateai/Liver_ZT12_1_R1_fastqc.zip
FastQC	all_sections	Liver_ZT12_1_R2	/home/rgitbt/Desktop/RNAgunjan/biostateai/Liver_ZT12_1_R2_fastqc.zip
FastQC	all_sections	Liver_ZT12_2_R1	/home/rgitbt/Desktop/RNAgunjan/biostateai/Liver_ZT12_2_R1_fastqc.zip
FastQC	all_sections	Liver_ZT12_2_R2	/home/rgitbt/Desktop/RNAgunjan/biostateai/Liver_ZT12_2_R2_fastqc.zip
