Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Heart_ZT0_1_R1	76.82965138350853	47.0	101.0	101	20.0	39655191.0
Heart_ZT0_1_R2	74.70556041565118	47.0	101.0	101	10.0	39655191.0
Heart_ZT0_2_R1	75.77685823546706	47.0	101.0	101	20.0	32275135.0
Heart_ZT0_2_R2	74.11061893792314	47.0	101.0	101	20.0	32275135.0
Heart_ZT12_1_R1	82.1836128396682	46.0	101.0	101	30.0	41767679.0
Heart_ZT12_1_R2	79.75852500737615	46.0	101.0	101	20.0	41767679.0
Heart_ZT12_2_R1	73.9936812314791	47.0	150.0	150	40.0	15930786.0
Heart_ZT12_2_R2	71.65920416944209	47.0	150.0	150	30.0	15930786.0
Liver_ZT0_1_R1	79.91105799832002	49.0	101.0	101	20.0	26335934.0
Liver_ZT0_1_R2	79.35971097633066	49.0	101.0	101	10.0	26335934.0
Liver_ZT0_2_R1	82.29272883392719	49.0	101.0	101	20.0	39706568.0
Liver_ZT0_2_R2	80.11793926047211	49.0	101.0	101	10.0	39706568.0
Liver_ZT12_1_R1	79.7984174143592	48.0	101.0	101	20.0	18807831.0
Liver_ZT12_1_R2	79.19961542075532	48.0	101.0	101	10.0	18807831.0
Liver_ZT12_2_R1	78.37231503699945	48.0	101.0	101	20.0	13787431.0
Liver_ZT12_2_R2	77.54985913799122	48.0	101.0	101	20.0	13787431.0
