Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Heart_ZT0_1R1	76.80772101873046	47.0	98.95075891826846	100	30.0	39244081.0
Heart_ZT0_1R2	75.48232382894162	47.0	98.9513865288373	100	10.0	39244081.0
Heart_ZT0_2R1	75.78647759513241	47.0	99.08958962686842	100	30.0	32087822.0
Heart_ZT0_2R2	74.52872756037887	47.0	99.07992502576211	100	20.0	32087822.0
Heart_ZT12_1R1	82.19187271356681	46.0	99.47851014050913	100	30.0	41447130.0
Heart_ZT12_1R2	80.44732555494754	46.0	99.47713195099395	100	20.0	41447130.0
Heart_ZT12_2R1	74.02834680476403	46.0	138.66182673764553	150	30.0	15764694.0
Heart_ZT12_2R2	72.45154777687465	46.0	138.69090614762328	150	20.0	15764694.0
Liver_ZT12_1R1	79.83161746262502	48.0	99.40929528925713	100	20.0	18732693.0
Liver_ZT12_1R2	79.56230018008554	48.0	99.40763252779512	100	10.0	18732693.0
